stop_id,assigned_hub_id,dist_to_hub,daily_passengers,stop_name,assigned_hub_name
1,170,1.0,0.0,Neumarkt i.d. OPf. Abzw. Friedlmühle 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
2,119,3.0,0.0,Neumarkt i.d. OPf. Abzw. Voggenthal 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
3,136,4.0,0.0,Neumarkt i.d. OPf. Ahntweg 1,Neumarkt i.d. OPf. Oberer Markt 2
4,136,2.0,0.0,Neumarkt i.d. OPf. Altdorfer Str. 1,Neumarkt i.d. OPf. Oberer Markt 2
5,143,3.0,0.0,Neumarkt i.d. OPf. Altenhof Geschäftszentrum 1,Neumarkt i.d. OPf. Rathaus 2
6,143,2.0,0.0,Neumarkt i.d. OPf. Altenhofweg 1,Neumarkt i.d. OPf. Rathaus 2
7,119,2.0,0.0,Neumarkt i.d. OPf. Am Evangelienstein 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
8,119,4.0,0.0,Neumarkt i.d. OPf. Am Evangelienstein 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
9,143,6.0,0.0,Neumarkt i.d. OPf. Am Letten 1,Neumarkt i.d. OPf. Rathaus 2
10,170,2.0,0.0,Neumarkt i.d. OPf. Am Lohgraben,Neumarkt i.d. OPf. Theo-Betz-Platz 2
11,119,3.0,0.0,Neumarkt i.d. OPf. Am Lohgraben 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
12,96,3.0,0.0,Neumarkt i.d. OPf. Am Sand 1,Neumarkt i.d. OPf. Landratsamt 1
13,119,2.0,0.0,Neumarkt i.d. OPf. Amberger Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
14,96,7.0,0.0,Neumarkt i.d. OPf. BRK-Altenheim 1,Neumarkt i.d. OPf. Landratsamt 1
15,119,2.0,0.0,Neumarkt i.d. OPf. Badstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
16,170,1.0,0.0,Neumarkt i.d. OPf. Badstr. 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
17,136,3.0,0.0,Neumarkt i.d. OPf. Bergstr. 1,Neumarkt i.d. OPf. Oberer Markt 2
18,119,2.0,0.0,Neumarkt i.d. OPf. Berufsschulzentr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
19,119,3.0,0.0,Neumarkt i.d. OPf. Berufsschulzentr. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
20,170,3.0,0.0,Neumarkt i.d. OPf. Birkenweg 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
21,170,2.0,0.0,Neumarkt i.d. OPf. Birkenweg 2,Neumarkt i.d. OPf. Theo-Betz-Platz 2
22,119,3.0,0.0,Neumarkt i.d. OPf. Breslauer Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
23,77,1.0,0.0,Neumarkt i.d. OPf. Deininger Weg/Sportz. 1,Neumarkt i.d. OPf. Kerschensteinerstr. 1
24,119,2.0,0.0,Neumarkt i.d. OPf. Deininger Weg/Sportz. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
25,119,3.0,0.0,Neumarkt i.d. OPf. Dientzenhoferstr. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
26,119,5.0,0.0,Neumarkt i.d. OPf. Dientzenhoferstr. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
27,119,3.0,0.0,Neumarkt i.d. OPf. EFA-Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
28,119,4.0,0.0,Neumarkt i.d. OPf. Egerländer Str. 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
29,143,1.0,0.0,Neumarkt i.d. OPf. Eichendorffstr. 1,Neumarkt i.d. OPf. Rathaus 2
30,119,1.0,0.0,Neumarkt i.d. OPf. Fa. Aptiv,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
31,119,3.0,0.0,Neumarkt i.d. OPf. Fa. Dehn 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
32,119,3.0,0.0,Neumarkt i.d. OPf. Fa. Dehn 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
33,119,4.0,0.0,Neumarkt i.d. OPf. Fa. Klebl 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
34,119,2.0,0.0,Neumarkt i.d. OPf. Fa. Klebl 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
35,119,2.0,0.0,Neumarkt i.d. OPf. Fa. Pfleiderer 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
36,119,2.0,0.0,Neumarkt i.d. OPf. Faberpark 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
37,119,1.0,0.0,Neumarkt i.d. OPf. Finanzamt 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
38,77,1.0,0.0,Neumarkt i.d. OPf. Finanzamt 2,Neumarkt i.d. OPf. Kerschensteinerstr. 1
39,136,1.0,0.0,Neumarkt i.d. OPf. Fliederweg 1,Neumarkt i.d. OPf. Oberer Markt 2
40,119,5.0,0.0,Neumarkt i.d. OPf. Fliederweg 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
41,96,2.0,0.0,Neumarkt i.d. OPf. Flugplatz 1,Neumarkt i.d. OPf. Landratsamt 1
42,119,2.0,0.0,Neumarkt i.d. OPf. Flugplatz 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
43,170,4.0,0.0,Neumarkt i.d. OPf. Freystädter Str. 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
44,119,5.0,0.0,Neumarkt i.d. OPf. Freystädter Str. 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
45,119,2.0,0.0,Neumarkt i.d. OPf. Friedhof 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
46,77,2.0,0.0,Neumarkt i.d. OPf. Friedhof 2,Neumarkt i.d. OPf. Kerschensteinerstr. 1
47,170,1.0,0.0,Neumarkt i.d. OPf. Fuchsberg 1,Neumarkt i.d. OPf. Theo-Betz-Platz 2
48,119,3.0,0.0,Neumarkt i.d. OPf. Föhrenweg 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
49,77,3.0,0.0,Neumarkt i.d. OPf. Förstersteig 1,Neumarkt i.d. OPf. Kerschensteinerstr. 1
50,119,2.0,0.0,Neumarkt i.d. OPf. Gansbrauerei 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
51,119,2.0,0.0,Neumarkt i.d. OPf. Gansbrauerei 2,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
52,136,5.0,0.0,Neumarkt i.d. OPf. Gasthof Feihl 1,Neumarkt i.d. OPf. Oberer Markt 2
53,119,2.0,0.0,Neumarkt i.d. OPf. Ginsterweg 1,Neumarkt i.d. OPf. Neumarkt Bahnhof 1
